player_name,games_played,favorite_position,goals_zone_1,goals_zone_1_per_game,shots_zone_1,shots_zone_1_per_game,efficiency_zone_1,goals_zone_2,goals_zone_2_per_game,shots_zone_2,shots_zone_2_per_game,efficiency_zone_2,goals_zone_3,goals_zone_3_per_game,shots_zone_3,shots_zone_3_per_game,efficiency_zone_3,goals_zone_4,goals_zone_4_per_game,shots_zone_4,shots_zone_4_per_game,efficiency_zone_4,goals_zone_5,goals_zone_5_per_game,shots_zone_5,shots_zone_5_per_game,efficiency_zone_5,goals_zone_6,goals_zone_6_per_game,shots_zone_6,shots_zone_6_per_game,efficiency_zone_6,goals_zone_7,goals_zone_7_per_game,shots_zone_7,shots_zone_7_per_game,efficiency_zone_7,goals_zone_8,goals_zone_8_per_game,shots_zone_8,shots_zone_8_per_game,efficiency_zone_8,goals_zone_9,goals_zone_9_per_game,shots_zone_9,shots_zone_9_per_game,efficiency_zone_9,goals_zone_10,goals_zone_10_per_game,shots_zone_10,shots_zone_10_per_game,efficiency_zone_10,goals_zone_11,goals_zone_11_per_game,shots_zone_11,shots_zone_11_per_game,efficiency_zone_11,goals_zone_12,goals_zone_12_per_game,shots_zone_12,shots_zone_12_per_game,efficiency_zone_12,goals_zone_13,goals_zone_13_per_game,shots_zone_13,shots_zone_13_per_game,efficiency_zone_13,goals_zone_14,goals_zone_14_per_game,shots_zone_14,shots_zone_14_per_game,efficiency_zone_14,goals_zone_15,goals_zone_15_per_game,shots_zone_15,shots_zone_15_per_game,efficiency_zone_15,goals_zone_16,goals_zone_16_per_game,shots_zone_16,shots_zone_16_per_game,efficiency_zone_16,goals_net_1,goals_net_1_per_game,shots_net_1,shots_net_1_per_game,goals_net_2,goals_net_2_per_game,shots_net_2,shots_net_2_per_game,goals_net_3,goals_net_3_per_game,shots_net_3,shots_net_3_per_game,goals_net_4,goals_net_4_per_game,shots_net_4,shots_net_4_per_game,goals_net_5,goals_net_5_per_game,shots_net_5,shots_net_5_per_game
,78,rightWing,1,0.01,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,1,0.01,2,0.03,50.0,4,0.0,6,0.08,0.0,0,0.05,19,0.24,21.1,17,0.22,89,1.14,19.1,1,0.01,26,0.33,3.8,0,0.0,5,0.06,0.0,0,0.0,11,0.14,0.0,1,0.01,39,0.5,2.6,1,0.01,20,0.26,5.0,0,0.0,1,0.01,0.0,0,0.0,3,0.04,0.0,0,0.0,0,0.0,0.0,1,0.01,26,0.33,3.8,17,0.22,73,0.94,3,0.04,85,1.09,5,0.06,37,0.47,1,0.01,47,0.6,1,0.01,5,0.06
Mcapp_1,143,defenseMen,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,4,0.03,4,0.03,100.0,2,0.0,4,0.03,0.0,0,0.01,3,0.02,66.7,8,0.06,42,0.29,19.0,0,0.0,1,0.01,0.0,0,0.0,1,0.01,0.0,1,0.01,25,0.17,4.0,9,0.06,49,0.34,18.4,0,0.0,7,0.05,0.0,0,0.0,11,0.08,0.0,3,0.02,38,0.27,7.9,0,0.0,2,0.01,0.0,1,0.01,37,0.26,2.7,6,0.04,65,0.45,8,0.06,51,0.36,9,0.06,71,0.5,5,0.03,34,0.24,0,0.0,3,0.02
TwoInchTommy565,151,leftWing,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,17,0.11,29,0.19,58.6,22,0.01,39,0.26,2.6,1,0.15,105,0.7,21.0,56,0.37,308,2.04,18.2,6,0.04,22,0.15,27.3,0,0.0,6,0.04,0.0,11,0.07,123,0.81,8.9,14,0.09,109,0.72,12.8,2,0.01,27,0.18,7.4,2,0.01,17,0.11,11.8,1,0.01,14,0.09,7.1,1,0.01,4,0.03,25.0,2,0.01,154,1.02,1.3,40,0.26,437,2.89,28,0.19,175,1.16,45,0.3,229,1.52,18,0.12,75,0.5,4,0.03,41,0.27
NYKings06,100,center,0,0.0,0,0.0,0,0,0.0,1,0.01,0.0,0,0.0,0,0.0,0,13,0.13,24,0.24,54.2,11,0.0,1,0.01,0.0,0,0.11,35,0.35,31.4,38,0.38,278,2.78,13.7,10,0.1,49,0.49,20.4,0,0.0,35,0.35,0.0,1,0.01,14,0.14,7.1,1,0.01,42,0.42,2.4,2,0.02,47,0.47,4.3,0,0.0,1,0.01,0.0,1,0.01,4,0.04,25.0,0,0.0,1,0.01,0.0,3,0.03,94,0.94,3.2,26,0.26,218,2.18,18,0.18,212,2.12,22,0.22,101,1.01,13,0.13,74,0.74,1,0.01,21,0.21
